plant_id,location_name
borago_officinalis_l,"Dingle Peninsula, County Kerry"
atropa_belladonna_l,Dingle Peninsula
rubus_spp,Dingle Peninsula hedgerows
menyanthes_trifoliata_l,Dingle Peninsula wetlands
arctium_lappa_l,Skellig road
brassica_oleracea_l,Local gardens
chondrus_crispus_stackh,Ocean
chamaemelum_nobile,Dingle Peninsula
sinapis_arvensis_l,Dingle Peninsula wild
syzygium_aromaticum,Imported
symphytum_officinale_l,Dingle Peninsula
taraxacum_officinale_weber,Wild gardens
rumex_obtusifolia_l,Near nettles
palmaria_palmata_l_kuntze,Ocean
orchis_mascula_l_l,Dingle Peninsula wild
sambucus_nigra_l,Dingle Peninsula trees
tanacetum_parthenium_l,Dingle Peninsula
linum_usitatissimum_l,Historical Dingle
digitalis_purpurea_l,Mount Brandon
ulex_europaeus_l,Dingle hedgerows
allium_sativum_l,Gardens
ribes_grossularia_l,Gardens
asplenium_scolopendrium_l,Dingle Peninsula wild
conium_maculatum_l,Dingle wild
sempervivum_tectorum_l,Roofs / Gardens
hedera_helix_l,Dingle Peninsula
laminaria_l,Ocean
filipendula_ulmaria_l_maxim,Dingle Peninsula
urtica_dioica_l,Common wild
avena_sativa_l,Farms
allium_cepa_l,Gardens
pisum_sativum_l,Gardens
mentha_piperita_l,Gardens
plantago_lanceolata_l,Wild surroundings
plantago_major_l,Dingle Peninsula
solanum_tuberosum_l,Gardens
primula_vulgaris_hudson,Dingle Peninsula
trifolium_pratense_l,Wild fields
cassia_spp,Imported
potentilla_anserina_l,Coastline
prunus_spinosa_l,Hedgerows
mentha_spicata_l,Gardens
hypericum_perforatum_l,Dingle Peninsula
sphagnum_spp,Bog holes
oxalis_acetosella_l,Dingle Peninsula
lobelia_dortmanna_l,Lake regions
achillea_millefolium_l,Dingle Peninsula
aloe_vera_l_burm_f,Imported
lavandula_angustifolia_mill,Imported
oenothera_biennis_l,Imported
arnica_montana_l,Imported
